# Unix-Time Temp, max, min
1550084388.0 46.22 50.0 42.08
1550084980.0 46.26 50.0 42.08
1550085580.0 46.26 50.0 42.08
1550086180.0 49.33 53.42 44.96
1550086312.0 49.35 53.42 44.96
1550086781.0 49.35 53.42 44.96
1550086912.0 49.35 53.42 44.96
1550087381.0 49.39 53.42 44.96
1550087512.0 49.39 53.42 44.96
1550087981.0 49.39 53.42 44.96
1550088112.0 49.41 53.42 44.96
1550088581.0 49.41 53.42 44.96
1550088712.0 49.41 53.42 44.96
1550089181.0 51.8 54.5 48.92
1550089312.0 51.8 54.5 48.92
1550089782.0 51.8 54.5 48.92
1550089912.0 51.82 54.5 48.92
1550090382.0 51.82 54.5 48.92
1550090513.0 51.82 54.5 48.92
1550090982.0 51.84 54.5 48.92
1550091113.0 51.84 54.5 48.92
1550091582.0 51.84 54.5 48.92
1550091713.0 51.85 54.5 48.92
1550092182.0 51.85 54.5 48.92
1550092313.0 51.85 54.5 48.92
1550092782.0 54.14 54.32 53.96
1550092913.0 54.14 54.32 53.96
1550093382.0 54.14 54.32 53.96
1550093514.0 54.14 54.32 53.96
1550093983.0 54.14 54.32 53.96
1550094114.0 54.14 54.32 53.96
1550094583.0 54.14 54.32 53.96
1550094714.0 54.14 54.32 53.96
1550095183.0 54.14 54.32 53.96
1550095314.0 54.14 54.32 53.96
1550095783.0 54.14 54.32 53.96
1550095914.0 54.14 54.32 53.96
1550096383.0 54.14 54.32 53.96
1550096514.0 54.14 54.32 53.96
1550096983.0 54.14 54.32 53.96
1550097114.0 54.09 55.04 53.06
1550097583.0 54.09 55.04 53.06
1550097714.0 54.09 55.04 53.06
1550098183.0 54.09 55.04 53.06
1550098315.0 54.09 55.04 53.06
1550098783.0 54.09 55.04 53.06
1550098915.0 54.09 55.04 53.06
1550099384.0 54.09 55.04 53.06
1550099515.0 54.09 55.04 53.06
1550099984.0 54.09 55.04 53.06
1550100115.0 54.09 55.04 53.06
1550100584.0 54.09 55.04 53.06
1550100715.0 52.3 53.42 51.08
1550101184.0 52.3 53.42 51.08
1550101315.0 52.3 53.42 51.08
1550101784.0 52.3 53.42 51.08
1550101915.0 52.3 53.42 51.08
1550102384.0 52.3 53.42 51.08
1550102515.0 52.3 53.42 51.08
1550102985.0 52.3 53.42 51.08
1550103116.0 52.32 53.42 51.08
1550103585.0 52.32 53.42 51.08
1550103716.0 52.32 53.42 51.08
1550104185.0 50.13 51.26 48.92
